score,review,y
5,무난함,1
4,가게 이름 처럼 원칙을 지켜 숙성해서 그런지 맛있었고 깔끔하고 친절~^^,1
3,불고기 쌈밥 먹었어요 양도 넉넉하고 불고기 부드럽더라구요가게로 깔끔하고 직원분도친절...,0
1,X,0
4,시설, 서비스는 만족,  고기는 좀 느끼해서 ..,1
4,맛은 괜찮으나 양이 심하게 적은듯그리고 여자알바 불친절,1
4,어제 기분좋게 고기먹었다가 알바때문에 기분만 잡치고 갑니다.츄리닝입은 키큰남자알바생...,1
4,오랜만에 삼산놀러와서 왔는데맛도 있고 직원들도 너무. 친절하여맛도2배로 맛있었오요ㅎㅎ,1
2,껍데기가 특별.  한번 맛보면 자꾸 먹고 싶음.,0
3,x,0
4,바쁜건 이해하지만 식당 들어가도 그 누구도 아는척도안하네요 ;; 몇몇 알바생분들 눈...,1
2,맛있네요♥  직원분들엄청친절하십니다^^!!!!,0
5,먹을만은 한데 직원들이 너무 불친절해요 소고기가 한두푼도 아니고 기분좋게 먹으로 갔...,1
1,별 한개도 아까움왜 비싸기만 하고 맛없는 건지부가세 별도는 뭐하자는 건지. 불쇼를 ...,0
1,음~ 맛 없지는 않구요. 엄청 빼어나지는 않아요. 그래도 소고기 먹으려면 여기와서 ...,0
1,고기 냄새 역할정도로남 비추,0
2,이따구로 처 크게 꿉네요 ㅋㅋㅋㅋ450그램인데알바 대충함  안익었는데 김치위에올리고...,0
2,지금까지 이런맛은 없었다.여기 또한 제가 인정한 로컬맛집입니다.가격대비 맛은 최고!...,0
1,X,0
4,맛있어요ㅠㅠ!!!!!!,1
1,X,0
2,진짜 맛있음 ~~ 잘 못구워서 허둥거리니 도와주셨음 흑흑 감사해요 사장님 ..근처 ...,0
3,맛있는 식사하고 갑니다,0
1,고기가 정말 부드럽고 맛있어요!가성비 최고 입니다!,0
2,명촌평화뒷고기 보다 고기 질이 좋아요. 가격도 더 저렴한거 같고...같은 프랜차이즈...,0
5,X,1
4,맛있게 먹었어요~~ 고기를 구워주고 잘라주는 서비스가 있어서 좋았어요. 된장찌개도 ...,1
3,완전 맛있어요~~~역시 짚신은 삼산점이 최고매콤한게 땡길땐 짚신이 진리죠ㅎ~,0
3,차라리 다른지점감,0
2,얼마 전에 가보니 직원들 싹 다 바꼈는데 예전에 갔었을 때 맥주를 시킴. 그랬더니 ...,0
4,불친절,1
4,제가 앵간해서 이런거 안남기는데 위생 신경좀 씁시다 젤 약한걸 말씀드리면 알바가 냉...,1
2,고기가 다른지점보다 좀 야물다.,0
1,양대창구이 맛집양념소스가 발라져있는데 맛있었어요곱창전골도 먹을만했어요,0
5,서울, 용인, 성남에서 라무진 가봤었는데, 울산점이 가장 친절하고 맛있었습니다! 주...,1
4,dd,1
4,와우,1
